,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090,R091,R092,R093,R094,R095,R096,R097,R098,R099,R100
R053,0.2274,0.2019,0.3221,0.1658,0.3175,0.2159,0.2275,0.1974,0.3232,0.1847,0.2967,0.2224,0.3059,0.3133,0.4423,0.3301,0.3559,0.4396,0.3644,0.3233,0.3787,0.4056,0.4616,0.3785,0.4314,0.3342,0.3926,0.3203,0.2562,0.3886,0.3190,0.3255,0.2413,0.3144,0.1632,0.3108,0.2416,0.3056,0.0485,0.1482,0.0371,0.0971,0.0288,0.1259,-0.0926,0.0627,0.1383,0.1765,0.1068,-0.0179,0.7746,0.8298,1.0000,0.7245,0.7153,0.8056,0.1736,0.0951,0.1425,0.0619,0.2114,0.2245,0.1808,0.2081,0.1408,0.2047,0.0756,0.1727,0.1215,0.2949,0.1836,0.0587,0.2072,0.2016,0.1723,0.1605,0.0449,0.1108,0.0989,0.1850,0.0522,0.2560,0.2456,0.1045,0.1801,0.0549,0.1272,0.0329,0.1061,0.2048,0.1764,0.0652,0.1015,0.1502,0.2617,0.1313,0.0699,0.1032,0.1924,0.1564
R054,0.1023,0.0305,0.1632,0.0891,0.1697,0.1249,0.1308,0.0939,0.1973,0.0739,0.1254,0.0866,0.1276,0.2125,0.1742,0.0337,0.0501,0.1705,0.0636,0.0696,0.0917,0.1431,0.1941,0.1356,0.1392,0.0706,0.4734,0.3442,0.3851,0.4036,0.4155,0.3534,0.2308,0.3075,0.2417,0.3938,0.3406,0.3375,0.3057,0.3490,0.2479,0.3479,0.3223,0.3159,0.1664,0.3437,0.3255,0.3907,0.3140,0.2340,0.7723,0.7529,0.7245,1.0000,0.7462,0.8284,0.2730,0.2890,0.2881,0.2266,0.3196,0.3375,0.3648,0.3017,0.2558,0.2751,0.3070,0.3286,0.2509,0.4064,0.1588,0.0692,0.1959,0.1486,0.1647,0.1500,-0.0053,0.0714,0.1664,0.1235,0.0965,0.2049,0.1911,0.1270,0.0958,0.0944,0.0825,0.0261,0.0549,0.1456,0.0658,0.0650,0.1111,0.1028,0.2029,0.0966,0.0608,0.1310,0.1467,0.1492
R055,0.0303,-0.0216,0.1219,0.0281,0.1168,0.0320,0.0641,-0.0074,0.1373,0.0207,0.0716,0.0043,0.0634,0.1165,0.2175,0.1050,0.1304,0.2338,0.1527,0.1330,0.1610,0.1593,0.2573,0.1875,0.1757,0.1098,0.3083,0.1650,0.1949,0.2106,0.2215,0.1239,0.0482,0.1401,0.0290,0.2239,0.1541,0.1750,0.3681,0.4194,0.3758,0.3656,0.3783,0.3428,0.2244,0.3571,0.3797,0.4445,0.3813,0.3307,0.7273,0.7250,0.7153,0.7462,1.0000,0.7294,0.1386,0.2106,0.1732,0.1540,0.2603,0.2362,0.2840,0.1802,0.1245,0.1581,0.1307,0.2301,0.1534,0.2688,0.2731,0.1552,0.2650,0.2356,0.2260,0.2216,0.0691,0.1167,0.1793,0.2529,0.1841,0.2836,0.2317,0.1828,0.2159,0.1298,0.1467,0.0886,0.1483,0.2622,0.1615,0.1541,0.1117,0.1155,0.2893,0.1848,0.1490,0.2044,0.2642,0.2016
R056,0.1018,0.0522,0.2026,0.0712,0.1965,0.1171,0.1109,0.0856,0.2128,0.0769,0.1653,0.1003,0.1282,0.2294,0.3264,0.2093,0.2394,0.3698,0.2550,0.2397,0.2799,0.3021,0.3810,0.2862,0.3681,0.2347,0.4359,0.3248,0.3410,0.3914,0.3350,0.3337,0.2584,0.3018,0.1754,0.3638,0.2865,0.3421,0.1656,0.2321,0.1143,0.2009,0.1884,0.1888,0.0177,0.1692,0.1990,0.2517,0.2097,0.0766,0.7903,0.8547,0.8056,0.8284,0.7294,1.0000,0.2370,0.1882,0.2256,0.1267,0.2537,0.2983,0.2861,0.2633,0.2139,0.2445,0.1792,0.2339,0.2179,0.3558,0.0981,0.0074,0.1510,0.1144,0.0896,0.1083,-0.0359,-0.0112,0.0788,0.0887,-0.0039,0.1923,0.1323,0.0656,0.0800,0.0118,0.0667,-0.0304,0.0273,0.1144,0.0839,0.0129,0.0380,0.0714,0.1951,0.0687,-0.0063,0.0402,0.1122,0.0712
R057,0.1634,0.0890,0.1950,0.1597,0.1972,0.1785,0.3029,0.1461,0.1714,0.2709,0.1714,0.1932,0.1952,0.1734,0.3219,0.2818,0.2265,0.2389,0.2647,0.2318,0.3080,0.3319,0.2192,0.3495,0.2875,0.2921,0.3861,0.3840,0.3587,0.2496,0.2983,0.3282,0.2004,0.3366,0.2988,0.3600,0.3906,0.3855,0.2267,0.2789,0.2190,0.2759,0.2599,0.2208,0.2747,0.2674,0.2060,0.3212,0.2626,0.1268,0.1594,0.2224,0.1736,0.2730,0.1386,0.2370,1.0000,0.7997,0.8368,0.7996,0.7915,0.8153,0.8018,0.8052,0.8189,0.8090,0.8275,0.7707,0.8320,0.8126,-0.0009,-0.1177,0.0180,0.0689,0.0088,0.0564,0.0006,0.0059,0.0176,-0.0711,-0.0627,0.0371,0.0115,0.0015,-0.0558,0.0071,0.0301,-0.0518,0.0228,-0.0678,0.0709,-0.0886,-0.0686,0.0791,0.0480,-0.0378,-0.0297,0.0620,-0.0460,0.0756
R058,0.0367,-0.0105,0.1242,0.0656,0.1328,0.0891,0.1954,0.0576,0.0475,0.1486,0.0804,0.0171,0.0815,0.0720,0.2568,0.2428,0.1647,0.2048,0.1907,0.2116,0.2560,0.2643,0.1687,0.3095,0.2194,0.2359,0.3380,0.2896,0.3064,0.1507,0.2754,0.2269,0.1450,0.2374,0.2258,0.2734,0.2846,0.3065,0.2461,0.2888,0.2478,0.2622,0.3021,0.2244,0.3145,0.2693,0.2294,0.3279,0.2415,0.1684,0.1869,0.1752,0.0951,0.2890,0.2106,0.1882,0.7997,1.0000,0.8463,0.8484,0.8240,0.8045,0.8413,0.8091,0.8127,0.7908,0.8598,0.8111,0.8302,0.8007,0.1330,0.0104,0.1100,0.1426,0.1217,0.1757,0.1360,0.0613,0.1264,0.0496,0.0626,0.1742,0.0832,0.1004,0.0449,0.1268,0.1047,0.0880,0.1129,0.0289,0.1191,0.0535,0.0632,0.1441,0.1464,0.0430,0.1161,0.1783,0.0718,0.2000
R059,0.1126,0.0777,0.1542,0.1660,0.1731,0.1697,0.2565,0.1274,0.1352,0.1804,0.1447,0.1274,0.1589,0.1592,0.2510,0.2067,0.1474,0.1655,0.1764,0.1707,0.2367,0.2427,0.1449,0.2979,0.2118,0.2415,0.3609,0.3327,0.3874,0.2355,0.3079,0.2960,0.1812,0.2836,0.3010,0.3339,0.3189,0.3449,0.1979,0.2166,0.1836,0.2309,0.2456,0.2021,0.2498,0.2403,0.1924,0.2597,0.2222,0.1215,0.1637,0.2001,0.1425,0.2881,0.1732,0.2256,0.8368,0.8463,1.0000,0.8517,0.8438,0.8264,0.8518,0.8400,0.8448,0.8204,0.8565,0.8458,0.8389,0.8181,0.0757,-0.0757,0.0655,0.1192,0.0919,0.1012,0.0499,0.0246,0.0848,-0.0207,0.0149,0.0826,0.0304,0.0685,-0.0273,0.0687,0.0619,0.0119,0.0858,-0.0437,0.0775,-0.0437,0.0102,0.1010,0.1151,-0.0136,0.0666,0.1005,0.0021,0.1306
R060,0.0376,-0.0189,0.0676,0.0501,0.0925,0.0888,0.1677,0.0442,0.0343,0.1228,0.0441,0.0265,0.0693,0.0534,0.2490,0.2325,0.1576,0.1566,0.1739,0.1910,0.2451,0.2621,0.1499,0.3056,0.1986,0.2208,0.3308,0.2718,0.3449,0.1520,0.2494,0.2109,0.1422,0.2543,0.2743,0.2845,0.2828,0.2921,0.2204,0.2717,0.2421,0.2685,0.2780,0.2263,0.2882,0.2448,0.2092,0.3020,0.2195,0.1698,0.1369,0.1323,0.0619,0.2266,0.1540,0.1267,0.7996,0.8484,0.8517,1.0000,0.8082,0.7978,0.8703,0.8320,0.8027,0.7498,0.8480,0.8390,0.8414,0.7634,0.0910,-0.0235,0.0715,0.1467,0.1318,0.1430,0.0890,0.0381,0.1101,-0.0096,0.0505,0.1077,0.0920,0.0688,0.0022,0.0775,0.0799,0.0435,0.0974,0.0159,0.0892,-0.0019,0.0345,0.1215,0.1309,0.0058,0.0878,0.1143,0.0452,0.1727
R061,0.1449,0.1043,0.1556,0.1720,0.2024,0.1809,0.2533,0.1640,0.1460,0.1938,0.1645,0.1440,0.1716,0.1649,0.2264,0.1747,0.1191,0.1550,0.1330,0.1478,0.2320,0.2445,0.1197,0.2526,0.2043,0.1642,0.3911,0.3788,0.4115,0.2323,0.3094,0.3419,0.2312,0.3153,0.3096,0.3418,0.3698,0.3712,0.1774,0.1891,0.1660,0.2516,0.2551,0.1884,0.2574,0.2153,0.1648,0.2716,0.1951,0.1276,0.2197,0.2523,0.2114,0.3196,0.2603,0.2537,0.7915,0.8240,0.8438,0.8082,1.0000,0.7956,0.8187,0.8134,0.7798,0.7807,0.8118,0.8130,0.8024,0.8119,0.0593,-0.0982,0.0220,0.0922,0.0601,0.0941,0.0138,-0.0037,0.0568,-0.0481,-0.0210,0.0806,0.0384,0.0389,-0.0439,0.0477,0.0351,0.0005,0.0519,-0.0287,0.0408,-0.0759,-0.0004,0.0861,0.1017,0.0027,0.0344,0.1091,-0.0264,0.1544
R062,0.1720,0.1348,0.2388,0.1600,0.2622,0.1965,0.3229,0.2062,0.1947,0.2364,0.1993,0.1814,0.1793,0.2440,0.3533,0.3292,0.2604,0.3017,0.2668,0.2768,0.3439,0.3560,0.2594,0.3961,0.3426,0.3354,0.4161,0.4033,0.4437,0.3053,0.3760,0.3416,0.2263,0.3899,0.3317,0.3924,0.3983,0.4157,0.2469,0.2752,0.2434,0.2563,0.2579,0.2102,0.2991,0.2123,0.2429,0.3048,0.2482,0.1300,0.2406,0.2929,0.2245,0.3375,0.2362,0.2983,0.8153,0.8045,0.8264,0.7978,0.7956,1.0000,0.8393,0.8232,0.7848,0.8173,0.8087,0.7965,0.8250,0.7909,0.1855,0.0338,0.1953,0.2770,0.1917,0.2291,0.1475,0.1486,0.1652,0.0914,0.0952,0.2168,0.1247,0.1459,0.1008,0.1774,0.1885,0.1242,0.2034,0.0888,0.1795,0.0673,0.1137,0.2395,0.2313,0.1137,0.1649,0.2179,0.1139,0.2486
R063,-0.0134,-0.0696,0.0619,0.0092,0.0683,0.0523,0.1497,-0.0079,0.0466,0.0793,0.0157,-0.0126,0.0263,0.0672,0.2624,0.2300,0.1915,0.2035,0.1801,0.2180,0.2612,0.2743,0.1805,0.3207,0.2354,0.2348,0.3265,0.2734,0.3537,0.1826,0.2928,0.2440,0.1114,0.2324,0.2303,0.2880,0.3017,0.3212,0.2535,0.2902,0.2476,0.2756,0.3143,0.2276,0.2970,0.2553,0.2402,0.3403,0.2532,0.1694,0.2600,0.2665,0.1808,0.3648,0.2840,0.2861,0.8018,0.8413,0.8518,0.8703,0.8187,0.8393,1.0000,0.8271,0.8147,0.8092,0.8556,0.8442,0.8518,0.7961,0.1046,-0.0172,0.0934,0.1683,0.1284,0.1599,0.0782,0.0486,0.1199,0.0505,0.0566,0.1331,0.0969,0.0770,0.0186,0.0914,0.0810,0.0205,0.0964,0.0225,0.0754,0.0310,0.0592,0.1551,0.1235,0.0395,0.0929,0.1252,0.0635,0.1813
R064,0.1652,0.1040,0.2230,0.1658,0.2167,0.2046,0.3043,0.1798,0.1784,0.2539,0.1764,0.1370,0.1863,0.2022,0.3260,0.3143,0.2453,0.2818,0.2646,0.2590,0.3500,0.3475,0.2515,0.3752,0.3259,0.3090,0.3862,0.3563,0.4214,0.2831,0.3406,0.3317,0.2333,0.3433,0.3235,0.3455,0.3708,0.4224,0.1116,0.1873,0.0812,0.1693,0.1730,0.1432,0.1713,0.1232,0.1039,0.2029,0.1367,0.0381,0.2598,0.2904,0.2081,0.3017,0.1802,0.2633,0.8052,0.8091,0.8400,0.8320,0.8134,0.8232,0.8271,1.0000,0.8307,0.8150,0.8356,0.8246,0.8197,0.7893,0.0389,-0.0912,0.0102,0.1186,0.0649,0.0833,0.0406,0.0053,0.0524,-0.0471,-0.0478,0.1029,0.0485,0.0245,-0.0500,0.0265,0.0271,-0.0085,0.0463,-0.0490,0.0351,-0.0493,0.0002,0.1191,0.1107,-0.0074,0.0357,0.0712,-0.0274,0.1315
R065,0.1189,0.0609,0.2039,0.1181,0.1831,0.1563,0.2614,0.1128,0.1620,0.1860,0.1491,0.1472,0.1761,0.1446,0.2880,0.2642,0.2135,0.2259,0.2345,0.2157,0.3081,0.3173,0.1886,0.3393,0.2760,0.2800,0.3606,0.3486,0.3628,0.2763,0.3131,0.3144,0.2173,0.3179,0.3200,0.3275,0.3493,0.3821,0.0843,0.1299,0.0729,0.1462,0.1397,0.1134,0.1464,0.1427,0.1135,0.1918,0.1306,0.0101,0.1619,0.2395,0.1408,0.2558,0.1245,0.2139,0.8189,0.8127,0.8448,0.8027,0.7798,0.7848,0.8147,0.8307,1.0000,0.8032,0.8076,0.8082,0.8347,0.7713,-0.0441,-0.1659,-0.0497,0.0080,-0.0405,0.0208,-0.0337,-0.0604,-0.0151,-0.1195,-0.1314,0.0296,-0.0175,-0.0538,-0.1013,-0.0356,-0.0479,-0.1019,-0.0219,-0.1453,-0.0456,-0.1350,-0.0992,0.0303,0.0210,-0.0913,-0.0322,-0.0034,-0.0827,0.0477
R066,0.1247,0.0839,0.2054,0.1171,0.2015,0.1695,0.2517,0.1293,0.1529,0.1881,0.1643,0.1528,0.1830,0.1648,0.3572,0.3540,0.2963,0.3134,0.3072,0.3069,0.3802,0.3831,0.2766,0.4143,0.3733,0.3885,0.3429,0.3849,0.3781,0.2696,0.2930,0.3321,0.2108,0.3615,0.2528,0.3226,0.3582,0.4087,0.1541,0.2008,0.1382,0.1760,0.1810,0.1540,0.2072,0.1632,0.1224,0.2329,0.1533,0.0413,0.1852,0.2597,0.2047,0.2751,0.1581,0.2445,0.8090,0.7908,0.8204,0.7498,0.7807,0.8173,0.8092,0.8150,0.8032,1.0000,0.8067,0.7639,0.8171,0.7862,0.1280,-0.0266,0.1011,0.1806,0.1175,0.1953,0.1195,0.0833,0.0818,0.0183,0.0166,0.1747,0.0970,0.0993,0.0470,0.0948,0.1190,0.0672,0.1209,0.0287,0.1436,0.0212,0.0602,0.1942,0.1707,0.0657,0.1073,0.1444,0.0665,0.1846
R067,0.0302,-0.0131,0.0823,0.0674,0.1190,0.0909,0.1884,0.0655,0.0476,0.1115,0.0488,0.0423,0.0573,0.0761,0.1667,0.1442,0.0903,0.1047,0.0905,0.1166,0.1684,0.1776,0.0700,0.1979,0.1436,0.1467,0.3914,0.3566,0.3835,0.2434,0.3437,0.3046,0.2098,0.3118,0.3135,0.3433,0.3834,0.3599,0.2237,0.2532,0.1930,0.2420,0.2608,0.2060,0.2956,0.2290,0.2059,0.2773,0.2028,0.1384,0.1372,0.1392,0.0756,0.3070,0.1307,0.1792,0.8275,0.8598,0.8565,0.8480,0.8118,0.8087,0.8556,0.8356,0.8076,0.8067,1.0000,0.8436,0.8318,0.7805,0.0491,-0.0755,0.0401,0.1143,0.0960,0.1193,0.0629,0.0341,0.1254,-0.0081,0.0074,0.0966,0.0398,0.0444,-0.0460,0.0696,0.0742,0.0354,0.0797,-0.0373,0.0518,-0.0246,0.0191,0.1289,0.0988,0.0378,0.0587,0.0953,-0.0010,0.1684
R068,0.0452,-0.0260,0.0734,0.0698,0.1053,0.0782,0.1903,0.0528,0.0520,0.0917,0.0690,0.0390,0.0641,0.0842,0.1673,0.1111,0.0513,0.0860,0.0773,0.0980,0.1613,0.1968,0.0665,0.2127,0.1455,0.1511,0.4108,0.3510,0.4651,0.2776,0.3558,0.3157,0.2188,0.3152,0.3688,0.3425,0.4170,0.3929,0.2349,0.2892,0.2288,0.2820,0.2880,0.2604,0.3035,0.2487,0.2145,0.3524,0.2404,0.1909,0.2066,0.2183,0.1727,0.3286,0.2301,0.2339,0.7707,0.8111,0.8458,0.8390,0.8130,0.7965,0.8442,0.8246,0.8082,0.7639,0.8436,1.0000,0.8305,0.7966,0.1081,-0.0121,0.0958,0.1469,0.1351,0.1525,0.0714,0.0722,0.1593,0.0537,0.0364,0.1472,0.0783,0.0714,-0.0003,0.1016,0.1041,0.0612,0.1008,0.0085,0.1065,0.0309,0.0581,0.1468,0.1476,0.0910,0.1062,0.1610,0.0607,0.2164
R069,0.0461,-0.0003,0.1212,0.0889,0.1141,0.1332,0.2120,0.0619,0.0841,0.1373,0.0817,0.1022,0.0842,0.0831,0.2484,0.2512,0.1722,0.2108,0.2060,0.2055,0.2967,0.3014,0.1911,0.3188,0.2463,0.2932,0.3816,0.3460,0.3855,0.2419,0.3324,0.2771,0.2106,0.3239,0.3024,0.3435,0.3632,0.3816,0.3042,0.3382,0.2727,0.3227,0.3197,0.2818,0.3420,0.2964,0.2519,0.3551,0.2997,0.1979,0.1769,0.2182,0.1215,0.2509,0.1534,0.2179,0.8320,0.8302,0.8389,0.8414,0.8024,0.8250,0.8518,0.8197,0.8347,0.8171,0.8318,0.8305,1.0000,0.7502,0.0990,-0.0082,0.0893,0.1425,0.1191,0.1558,0.0902,0.0673,0.0655,0.0366,0.0573,0.1303,0.0785,0.0724,0.0305,0.0889,0.0854,0.0459,0.0850,0.0024,0.1199,0.0033,0.0570,0.1310,0.1344,0.0751,0.0705,0.1343,0.0597,0.1601
R070,0.2109,0.1546,0.2542,0.1868,0.2910,0.2088,0.3364,0.1811,0.2422,0.2786,0.2322,0.1946,0.2627,0.2200,0.3828,0.3262,0.2682,0.3157,0.3034,0.2883,0.3652,0.3936,0.2990,0.4192,0.3682,0.3442,0.3850,0.3731,0.3937,0.2633,0.3118,0.3014,0.1823,0.2907,0.2926,0.3247,0.3529,0.3751,0.2018,0.2453,0.1968,0.2354,0.2144,0.1992,0.2414,0.2139,0.2184,0.2777,0.2106,0.1079,0.2659,0.3427,0.2949,0.4064,0.2688,0.3558,0.8126,0.8007,0.8181,0.7634,0.8119,0.7909,0.7961,0.7893,0.7713,0.7862,0.7805,0.7966,0.7502,1.0000,0.1208,-0.0145,0.1235,0.1842,0.1384,0.1739,0.0872,0.1141,0.1250,0.0549,0.0036,0.1568,0.1058,0.0999,0.0590,0.0889,0.0893,0.0540,0.1156,0.0651,0.1510,0.0461,0.0410,0.1629,0.1552,0.0429,0.1347,0.1464,0.0699,0.2123
R071,0.1782,0.2437,0.2359,0.1832,0.2204,0.1859,0.1436,0.2004,0.1722,0.1271,0.1818,0.1309,0.1196,0.1908,0.1284,0.1416,0.0750,0.1469,0.1448,0.1562,0.0879,0.0835,0.1579,0.2115,0.1230,0.2146,0.1470,0.1477,0.1028,0.0572,0.1399,-0.0376,0.0653,0.1771,-0.0251,0.1065,0.0075,0.0544,0.3001,0.3283,0.2816,0.1566,0.0990,0.1629,0.2928,0.0846,0.1867,0.2053,0.1876,0.1672,0.1529,0.0978,0.1836,0.1588,0.2731,0.0981,-0.0009,0.1330,0.0757,0.0910,0.0593,0.1855,0.1046,0.0389,-0.0441,0.1280,0.0491,0.1081,0.0990,0.1208,1.0000,0.8503,0.8468,0.8410,0.8836,0.8562,0.8626,0.8522,0.8105,0.8295,0.8456,0.8383,0.8081,0.8488,0.8893,0.8155,0.8717,0.8652,0.8551,0.8844,0.8025,0.8565,0.8561,0.8084,0.8824,0.8507,0.8698,0.8865,0.8669,0.8331
R072,0.0166,0.1015,0.0670,0.0755,0.0454,0.0228,-0.0117,0.0825,0.0249,-0.0151,0.0360,0.0015,-0.0510,0.0629,-0.0136,0.0173,-0.0507,0.0351,0.0236,0.0474,-0.0521,-0.0477,0.0513,0.0978,0.0033,0.0854,0.1323,0.1030,0.0560,0.0154,0.1279,-0.0381,0.0939,0.1157,-0.0393,0.0870,-0.0097,0.0354,0.2863,0.3107,0.2930,0.1367,0.1166,0.1607,0.2702,0.1094,0.1635,0.1948,0.1767,0.2194,0.0504,-0.0386,0.0587,0.0692,0.1552,0.0074,-0.1177,0.0104,-0.0757,-0.0235,-0.0982,0.0338,-0.0172,-0.0912,-0.1659,-0.0266,-0.0755,-0.0121,-0.0082,-0.0145,0.8503,1.0000,0.8186,0.8100,0.8483,0.8374,0.8491,0.7949,0.7898,0.7989,0.8513,0.7693,0.7560,0.8406,0.8561,0.8479,0.8493,0.8495,0.8460,0.8608,0.7598,0.8337,0.8495,0.8056,0.8164,0.8448,0.8634,0.8359,0.8600,0.8029
R073,0.1571,0.2106,0.2228,0.1840,0.2081,0.1445,0.0913,0.1923,0.1716,0.1460,0.1945,0.1091,0.1073,0.1976,0.1420,0.1707,0.1072,0.1768,0.1485,0.1669,0.0804,0.0760,0.1990,0.2455,0.1393,0.2421,0.2430,0.2292,0.1950,0.1230,0.2277,0.0989,0.1865,0.2554,0.0608,0.2039,0.1222,0.1162,0.3214,0.3278,0.3528,0.1976,0.1491,0.1863,0.3057,0.1365,0.1990,0.2259,0.1691,0.2377,0.1672,0.1271,0.2072,0.1959,0.2650,0.1510,0.0180,0.1100,0.0655,0.0715,0.0220,0.1953,0.0934,0.0102,-0.0497,0.1011,0.0401,0.0958,0.0893,0.1235,0.8468,0.8186,1.0000,0.7981,0.8360,0.8157,0.8077,0.7940,0.7580,0.7944,0.8119,0.7745,0.7667,0.8025,0.8156,0.7972,0.8228,0.8196,0.8146,0.8435,0.7553,0.8070,0.8048,0.7555,0.8024,0.7882,0.8178,0.8189,0.8423,0.7952
R074,0.1798,0.2139,0.2485,0.1954,0.2368,0.1493,0.1573,0.2516,0.1930,0.1492,0.1917,0.1499,0.1323,0.2064,0.2145,0.2288,0.1654,0.2417,0.2340,0.2544,0.1857,0.1882,0.2463,0.3091,0.2427,0.3024,0.2922,0.2280,0.1864,0.1592,0.2496,0.0881,0.2111,0.2616,0.0932,0.2110,0.1275,0.1625,0.2352,0.2568,0.2234,0.0956,0.0474,0.1017,0.2124,0.0518,0.1312,0.1586,0.0937,0.0992,0.1037,0.1080,0.2016,0.1486,0.2356,0.1144,0.0689,0.1426,0.1192,0.1467,0.0922,0.2770,0.1683,0.1186,0.0080,0.1806,0.1143,0.1469,0.1425,0.1842,0.8410,0.8100,0.7981,1.0000,0.8164,0.8544,0.8270,0.7861,0.8058,0.7801,0.7854,0.7852,0.7890,0.7856,0.8350,0.7812,0.8241,0.8175,0.8242,0.8338,0.7817,0.8106,0.8146,0.8139,0.8232,0.8085,0.8116,0.8362,0.8133,0.8158
R075,0.0941,0.1652,0.1549,0.1016,0.1346,0.1211,0.0730,0.1453,0.0978,0.0583,0.1077,0.0375,0.0324,0.1035,0.0569,0.0926,0.0425,0.1080,0.1172,0.1053,0.0463,0.0379,0.1065,0.1695,0.0716,0.1592,0.1805,0.1537,0.1224,0.0671,0.1760,0.0199,0.0601,0.1949,-0.0173,0.1246,0.0331,0.0370,0.2388,0.2576,0.2578,0.0996,0.0453,0.1104,0.2415,0.0428,0.1111,0.1464,0.1099,0.1266,0.1112,0.0635,0.1723,0.1647,0.2260,0.0896,0.0088,0.1217,0.0919,0.1318,0.0601,0.1917,0.1284,0.0649,-0.0405,0.1175,0.0960,0.1351,0.1191,0.1384,0.8836,0.8483,0.8360,0.8164,1.0000,0.8399,0.8391,0.8261,0.8375,0.8043,0.8300,0.7912,0.7917,0.8457,0.8514,0.8003,0.8598,0.8595,0.8639,0.8668,0.7767,0.8454,0.8439,0.8168,0.8713,0.8271,0.8798,0.8400,0.8417,0.8600
R076,0.1057,0.1611,0.1931,0.1033,0.1757,0.1070,0.0864,0.1616,0.1249,0.0805,0.1493,0.0669,0.0620,0.1266,0.1824,0.1973,0.1424,0.1809,0.2066,0.2272,0.1398,0.1812,0.2103,0.2928,0.1820,0.2962,0.2451,0.2264,0.1857,0.1338,0.2562,0.0680,0.1869,0.2336,0.0572,0.2102,0.1153,0.1612,0.2569,0.2921,0.2642,0.1164,0.0807,0.1298,0.2453,0.0660,0.1549,0.1945,0.1155,0.1635,0.1008,0.0902,0.1605,0.1500,0.2216,0.1083,0.0564,0.1757,0.1012,0.1430,0.0941,0.2291,0.1599,0.0833,0.0208,0.1953,0.1193,0.1525,0.1558,0.1739,0.8562,0.8374,0.8157,0.8544,0.8399,1.0000,0.8474,0.7863,0.8045,0.7611,0.7936,0.8125,0.7847,0.8347,0.8434,0.8097,0.8534,0.8438,0.8487,0.8559,0.8064,0.8307,0.8266,0.8458,0.8477,0.8188,0.8578,0.8093,0.8440,0.8254
R077,0.0437,0.1414,0.1237,0.0853,0.1152,0.0737,0.0210,0.1160,0.0547,0.0563,0.0908,0.0318,0.0080,0.0676,0.1162,0.1625,0.0872,0.1522,0.1727,0.1897,0.0983,0.1038,0.1745,0.2340,0.1351,0.2338,0.0740,0.1094,0.0228,-0.0196,0.0838,-0.0477,0.0798,0.1241,-0.0756,0.0349,-0.0285,-0.0029,0.1880,0.1965,0.1779,0.0229,-0.0160,0.0330,0.1903,-0.0445,0.0461,0.0804,0.0418,0.0551,-0.0059,-0.0564,0.0449,-0.0053,0.0691,-0.0359,0.0006,0.1360,0.0499,0.0890,0.0138,0.1475,0.0782,0.0406,-0.0337,0.1195,0.0629,0.0714,0.0902,0.0872,0.8626,0.8491,0.8077,0.8270,0.8391,0.8474,1.0000,0.8415,0.7932,0.8015,0.8218,0.7879,0.7770,0.8175,0.8711,0.7937,0.8525,0.8452,0.8489,0.8604,0.7932,0.8440,0.8657,0.8254,0.8206,0.8376,0.8669,0.8405,0.8468,0.8319
R078,0.2554,0.2879,0.2781,0.2545,0.2771,0.2502,0.2142,0.2915,0.2485,0.2237,0.2612,0.2102,0.1737,0.2315,0.1221,0.1267,0.0758,0.1159,0.1596,0.1374,0.0749,0.0851,0.1395,0.1915,0.0947,0.1998,0.0956,0.1514,0.0879,0.0720,0.1139,-0.0252,0.0801,0.1997,-0.0190,0.0842,-0.0035,0.0276,0.2236,0.2274,0.2108,0.0797,0.0126,0.0848,0.2377,0.0021,0.1247,0.1172,0.0970,0.1161,0.0398,0.0010,0.1108,0.0714,0.1167,-0.0112,0.0059,0.0613,0.0246,0.0381,-0.0037,0.1486,0.0486,0.0053,-0.0604,0.0833,0.0341,0.0722,0.0673,0.1141,0.8522,0.7949,0.7940,0.7861,0.8261,0.7863,0.8415,1.0000,0.7636,0.8270,0.8106,0.7546,0.7818,0.7897,0.8484,0.7898,0.8401,0.8086,0.8369,0.8125,0.8016,0.8245,0.7913,0.7667,0.8138,0.7945,0.8261,0.8260,0.8151,0.8059
