,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R058,-0.0360,0.0980,-0.0204,0.0590,0.0419,0.1017,-0.0437,-0.0117,-0.0517,0.0186,-0.0053,0.0097,0.0984,-0.0028,0.0725,-0.0482,-0.0159,-0.0649,0.1092,0.2150,0.1604,0.2472,-0.0706,0.0130,0.0047,0.0070,-0.0173,-0.0146,0.2777,0.2985,0.3215,0.2814,0.3322,0.3240,0.3267,0.2748,0.3092,0.3530,0.1761,0.0204,0.0253,0.0622,0.0475,0.1665,0.0405,0.1308,0.0081,-0.0141,0.1040,0.0813,0.5248,0.4524,0.3911,0.4707,0.4767,0.5263,0.4985,1.0000,0.4293,0.4326,0.4660,0.5561,0.4908,0.4713,0.4149,0.5112,0.3820,0.5141,0.0024,0.0030,-0.0085,-0.0156,-0.1232,-0.1291,-0.0009,-0.0222,-0.0402,-0.0321,0.0095,-0.1504,0.1178,0.0587,0.2121,0.1275,0.2242,0.1821,0.1706,0.1692,0.1285,0.1033
R059,-0.2301,0.0191,-0.0875,0.0326,-0.1083,-0.0877,-0.2359,-0.1893,-0.0908,-0.1631,-0.2195,-0.0429,-0.1096,-0.2021,-0.0618,-0.1760,-0.1944,-0.1651,-0.0818,-0.0026,-0.0382,0.0188,-0.0198,0.0163,-0.0647,0.0196,-0.0598,-0.0591,0.3080,0.2742,0.2871,0.2561,0.3782,0.2537,0.2912,0.2508,0.2686,0.3172,0.1418,0.0615,0.1497,-0.0072,-0.0246,0.2065,-0.0215,0.1457,0.0667,-0.0303,0.0607,0.0767,0.4978,0.5273,0.3746,0.5477,0.5203,0.5019,0.5391,0.4293,1.0000,0.4543,0.5445,0.5033,0.4602,0.4773,0.4664,0.5661,0.6182,0.5510,-0.0742,0.0357,-0.0689,-0.0384,-0.1634,-0.1576,-0.0832,-0.0749,-0.0513,-0.0985,0.0008,-0.0952,0.1450,0.0939,0.1874,0.1120,0.1675,0.1241,0.1459,0.1791,0.1637,0.0750
R060,0.0050,0.0931,-0.0794,0.1464,0.0656,0.1113,-0.1081,-0.1237,0.1012,-0.0020,-0.0793,0.1115,0.0586,0.0284,0.0853,0.0449,-0.0795,0.0480,0.0178,0.0246,0.0121,0.1589,-0.0355,0.0757,0.0517,0.0620,0.0053,-0.0078,0.1676,0.1459,0.2077,0.1212,0.2097,0.1452,0.1634,0.2157,0.1803,0.2793,0.1131,0.0108,0.0183,0.0712,-0.0363,0.1212,0.1354,0.1346,0.0843,-0.0077,0.0556,0.1043,0.5674,0.6371,0.4662,0.4589,0.5687,0.5508,0.5848,0.4326,0.4543,1.0000,0.6469,0.4493,0.5547,0.6078,0.4148,0.5933,0.4676,0.6150,-0.1564,-0.1193,-0.1840,-0.2039,-0.2415,-0.2486,-0.2449,-0.1448,-0.1778,-0.1970,-0.1549,-0.1923,0.0957,0.1288,0.2334,0.0586,0.1992,0.1810,0.2075,0.1760,0.0597,0.0897
R061,-0.0277,0.1341,-0.0214,0.0548,0.0238,0.1392,-0.1216,-0.1013,-0.0079,0.0099,-0.0212,0.0774,-0.0035,0.0604,0.1243,-0.0320,-0.1027,-0.0330,-0.0286,-0.0472,-0.0185,0.0988,0.0366,0.1151,0.0206,0.0795,0.0057,0.0063,0.0783,0.1247,0.1754,0.0997,0.1590,0.1500,0.1021,0.1414,0.0986,0.2261,0.1990,-0.0319,0.1099,0.0109,-0.0654,0.0518,0.0006,0.0546,-0.0341,-0.0084,-0.0235,0.0601,0.6188,0.6929,0.5457,0.5759,0.6298,0.6354,0.6096,0.4660,0.5445,0.6469,1.0000,0.5514,0.5605,0.6816,0.5380,0.5762,0.5900,0.7199,-0.1729,-0.1010,-0.1114,-0.1321,-0.1706,-0.2022,-0.1796,-0.1415,-0.1753,-0.1082,-0.1025,-0.1817,0.1768,0.1852,0.1987,0.1636,0.3177,0.2210,0.2505,0.2761,0.1624,0.1268
R062,0.0248,-0.0172,0.0486,0.1343,-0.0029,0.1482,-0.0811,-0.0722,-0.0195,0.0454,-0.0447,0.0803,0.0452,-0.0181,-0.0398,-0.1018,-0.0516,-0.0529,0.2287,0.2191,0.2065,0.2538,0.0620,0.1429,0.1024,0.1605,0.0741,0.1135,0.2937,0.2978,0.3626,0.3176,0.3686,0.3187,0.3946,0.3717,0.3386,0.3644,0.3141,0.1653,0.1136,0.0959,0.1320,0.3157,0.1238,0.2995,0.1306,0.1981,0.1753,0.1623,0.6292,0.6093,0.4615,0.5896,0.5578,0.4925,0.6268,0.5561,0.5033,0.4493,0.5514,1.0000,0.5655,0.5640,0.4991,0.6032,0.4852,0.6852,-0.0278,-0.0589,-0.0387,-0.0238,-0.1505,-0.1475,-0.1119,-0.0526,-0.1536,-0.0675,-0.0755,-0.1593,0.2849,0.3231,0.2941,0.2573,0.3398,0.3294,0.3702,0.3532,0.3300,0.1594
R063,0.0806,0.1532,0.0099,0.2207,0.1027,0.1713,0.0552,0.0024,0.0389,0.0586,-0.0507,0.0823,0.1610,0.0776,0.0875,0.0673,-0.0239,0.0424,0.0704,0.1271,0.1371,0.1730,0.0543,0.1171,0.1181,0.0761,0.0344,0.0542,0.2838,0.2542,0.3262,0.2767,0.2840,0.3306,0.2444,0.2797,0.2325,0.3475,0.2337,0.1187,0.1272,0.0477,0.0198,0.1587,0.1188,0.2204,0.1137,0.0771,0.1010,0.1188,0.5458,0.6254,0.3928,0.4447,0.5694,0.5184,0.5593,0.4908,0.4602,0.5547,0.5605,0.5655,1.0000,0.5378,0.4832,0.5827,0.4726,0.5901,-0.1817,-0.2159,-0.1854,-0.1658,-0.2140,-0.2191,-0.2622,-0.1575,-0.2041,-0.0906,-0.1702,-0.2991,0.1376,0.1644,0.2003,0.0203,0.2043,0.1142,0.2152,0.2138,0.1348,0.0029
R064,-0.0800,0.0258,-0.1210,0.0089,-0.0397,0.0605,-0.1969,-0.1023,-0.1003,-0.0312,-0.1096,-0.0486,-0.0495,-0.0455,-0.0108,-0.0497,-0.1693,-0.1093,0.1157,0.1594,0.1832,0.1599,-0.0034,0.0525,0.0146,0.0395,-0.0364,0.0288,-0.0135,-0.0002,0.0826,-0.0114,0.0602,0.0261,0.0685,0.0473,-0.0516,0.1279,0.2113,0.0558,0.0499,0.0756,0.0277,0.0904,0.0630,0.1787,0.0110,0.0139,0.0380,0.0946,0.5219,0.5834,0.5293,0.5697,0.6005,0.5392,0.6084,0.4713,0.4773,0.6078,0.6816,0.5640,0.5378,1.0000,0.4741,0.5695,0.5168,0.7339,-0.1682,-0.1167,-0.1361,-0.1670,-0.2146,-0.2956,-0.2345,-0.1483,-0.2356,-0.1413,-0.1837,-0.1877,0.1680,0.2402,0.2164,0.0897,0.2179,0.2175,0.1963,0.1770,0.1076,0.0519
R065,-0.1576,0.0006,-0.1109,0.0330,-0.1374,-0.0772,-0.1653,-0.2614,-0.1068,-0.1282,-0.1992,-0.0540,-0.1047,-0.1680,-0.0631,-0.1155,-0.2287,-0.2115,-0.1741,-0.1624,-0.1259,-0.0661,-0.0105,0.0811,-0.0172,0.1413,-0.0097,0.0194,0.2797,0.2675,0.3390,0.2755,0.3329,0.2330,0.2506,0.3147,0.2960,0.3632,0.0819,0.0202,0.0451,-0.0072,-0.0409,0.0722,-0.0131,0.1667,-0.0799,-0.0191,-0.0173,0.0370,0.5402,0.5464,0.3999,0.4909,0.4947,0.3788,0.4209,0.4149,0.4664,0.4148,0.5380,0.4991,0.4832,0.4741,1.0000,0.5196,0.4138,0.5542,-0.0089,0.0112,0.0200,0.0794,-0.1094,0.0288,-0.0235,0.0424,-0.0785,0.0806,0.0162,-0.1237,0.0152,-0.0173,0.0878,0.0188,0.1520,0.0066,0.0899,0.1138,0.0641,-0.0305
R066,0.0234,0.0907,-0.0142,0.0870,-0.0165,0.0976,-0.0925,-0.0518,-0.0180,-0.0386,-0.0415,0.0325,0.0937,-0.0108,0.0023,0.0168,-0.0952,-0.0161,0.1057,0.1909,0.1448,0.2054,0.0781,0.1663,0.0868,0.1708,0.0287,0.0501,0.2930,0.2662,0.2777,0.2741,0.3226,0.2710,0.2715,0.3992,0.2830,0.3451,0.1996,0.1462,0.1383,0.1159,0.0044,0.2752,0.0986,0.2030,0.1222,0.0880,0.1275,0.0648,0.6069,0.5738,0.4471,0.5101,0.5386,0.5414,0.5496,0.5112,0.5661,0.5933,0.5762,0.6032,0.5827,0.5695,0.5196,1.0000,0.5117,0.6415,0.0801,0.0502,-0.0048,-0.0300,-0.0242,-0.1052,-0.0151,0.1031,0.0040,0.1041,0.0213,-0.0656,0.2955,0.3064,0.3380,0.2472,0.3562,0.3400,0.3679,0.3569,0.3354,0.2821
R067,-0.0385,0.0180,-0.0401,0.0161,-0.0989,0.0644,-0.1549,-0.1001,-0.0889,-0.1559,-0.1769,-0.0302,-0.0405,-0.0573,0.0075,-0.0987,-0.1190,-0.0813,-0.0586,-0.0849,-0.0724,-0.0279,0.0810,0.0909,0.0289,0.0814,0.0222,0.0584,0.1205,0.1624,0.1909,0.1153,0.1624,0.0362,0.0819,0.1815,0.1731,0.1738,0.1621,0.0046,0.0733,-0.0200,-0.0571,0.0872,0.0500,0.1264,0.0194,-0.0655,-0.0099,0.1123,0.4147,0.4855,0.5100,0.4744,0.4905,0.5174,0.5669,0.3820,0.6182,0.4676,0.5900,0.4852,0.4726,0.5168,0.4138,0.5117,1.0000,0.5419,-0.0932,-0.1013,-0.0940,-0.0760,-0.1072,-0.1779,-0.1241,-0.1340,-0.1360,-0.1270,-0.1253,-0.1705,0.2746,0.2054,0.2165,0.1904,0.2507,0.2357,0.2781,0.3181,0.1612,0.1737
R068,-0.1237,0.0097,-0.1280,-0.0517,-0.1502,-0.0141,-0.2543,-0.1503,-0.1638,-0.1129,-0.1407,-0.0900,-0.1132,-0.0867,-0.0479,-0.1767,-0.2048,-0.1550,0.0711,0.0668,0.1280,0.1698,-0.0752,0.0141,-0.0201,0.0467,-0.0862,-0.0641,0.2078,0.1469,0.2482,0.1920,0.2272,0.2311,0.2436,0.2433,0.1449,0.2623,0.1579,0.0316,0.0704,0.0432,-0.0074,0.1642,0.0241,0.1322,-0.0114,0.0227,0.0183,0.0214,0.6370,0.5966,0.5147,0.5584,0.6749,0.5996,0.6511,0.5141,0.5510,0.6150,0.7199,0.6852,0.5901,0.7339,0.5542,0.6415,0.5419,1.0000,-0.1298,-0.0682,-0.1397,-0.1071,-0.1830,-0.2071,-0.2112,-0.1054,-0.1907,-0.1077,-0.1363,-0.1980,0.2159,0.2418,0.3120,0.1556,0.3016,0.2652,0.2994,0.2120,0.2510,0.1605
R069,0.2012,0.2541,0.1518,0.1256,0.1206,0.2396,0.2639,0.3077,0.2015,0.2565,0.2624,0.2079,0.2191,0.1461,0.1668,0.1748,0.2687,0.1338,0.0502,0.1889,0.1295,0.0726,0.2881,0.2267,0.2426,0.2494,0.2243,0.2708,0.2079,0.2138,0.1860,0.1637,0.1530,0.0518,0.1639,0.2978,0.2806,0.0372,-0.0240,0.1327,0.1777,0.3039,0.2450,0.1931,0.1890,0.1176,0.2771,0.1510,0.1327,0.1307,-0.0729,-0.1936,-0.2046,-0.0732,-0.0913,-0.0876,-0.2364,0.0024,-0.0742,-0.1564,-0.1729,-0.0278,-0.1817,-0.1682,-0.0089,0.0801,-0.0932,-0.1298,1.0000,0.6969,0.7071,0.6659,0.7540,0.6802,0.7698,0.7398,0.7701,0.6643,0.7406,0.7172,0.2193,0.2132,0.2687,0.2499,0.1977,0.1631,0.2212,0.1578,0.3598,0.3069
R070,0.1458,0.2447,0.1789,0.1427,0.1350,0.1150,0.2808,0.2357,0.2414,0.2146,0.1758,0.2315,0.2175,0.1037,0.1531,0.1913,0.2197,0.0885,0.0203,0.1454,0.0553,0.1122,0.2688,0.2063,0.2722,0.2553,0.2120,0.2593,0.2360,0.2195,0.1957,0.1279,0.2088,0.0665,0.1730,0.2896,0.2452,0.0552,0.1014,0.2622,0.1355,0.3417,0.2292,0.2024,0.2210,0.1398,0.2880,0.2031,0.1634,0.2411,-0.0261,-0.1540,-0.2038,-0.0474,0.0271,-0.0814,-0.1869,0.0030,0.0357,-0.1193,-0.1010,-0.0589,-0.2159,-0.1167,0.0112,0.0502,-0.1013,-0.0682,0.6969,1.0000,0.5655,0.6296,0.5956,0.5961,0.6800,0.6437,0.6601,0.5623,0.7228,0.6339,0.1118,0.0216,0.1507,0.0957,0.0750,0.0458,0.1870,0.0864,0.2148,0.2046
R071,0.2315,0.1661,0.1982,0.1434,0.1520,0.2695,0.3559,0.2790,0.2038,0.2929,0.3687,0.2587,0.2233,0.1897,0.2521,0.2705,0.3019,0.1450,0.1173,0.2499,0.1558,0.1332,0.2897,0.3103,0.2969,0.3141,0.3070,0.3202,0.1280,0.1165,0.1015,0.0762,0.0484,-0.0439,0.0032,0.1407,0.1791,-0.0346,0.0259,0.1627,0.2205,0.2632,0.3055,0.1822,0.1983,0.0664,0.1722,0.1414,0.1267,0.2026,0.0180,-0.1276,-0.1580,-0.0512,-0.0635,-0.0267,-0.1576,-0.0085,-0.0689,-0.1840,-0.1114,-0.0387,-0.1854,-0.1361,0.0200,-0.0048,-0.0940,-0.1397,0.7071,0.5655,1.0000,0.6571,0.7130,0.6480,0.7538,0.7019,0.6735,0.6568,0.6916,0.6963,0.2252,0.1736,0.2428,0.2244,0.1983,0.1210,0.2400,0.1284,0.3047,0.2551
R072,0.0793,0.1745,0.1358,0.0444,0.0506,0.1516,0.2353,0.1985,0.1502,0.1571,0.2112,0.1420,0.2073,0.0352,0.1216,0.0579,0.1829,0.0550,-0.0795,-0.0002,-0.0145,-0.0780,0.3140,0.2820,0.3186,0.3521,0.2993,0.3270,0.2101,0.1684,0.1918,0.1020,0.1197,0.0445,0.1133,0.2270,0.2088,0.0390,-0.0334,0.0540,0.0489,0.1861,0.2028,0.0261,0.1107,0.0024,0.0994,0.0174,0.0505,0.0988,0.0315,-0.1113,-0.1279,0.0548,0.0178,-0.0446,-0.1794,-0.0156,-0.0384,-0.2039,-0.1321,-0.0238,-0.1658,-0.1670,0.0794,-0.0300,-0.0760,-0.1071,0.6659,0.6296,0.6571,1.0000,0.6434,0.6901,0.6697,0.6593,0.6433,0.6985,0.6499,0.5434,0.2418,0.1541,0.2235,0.1946,0.1676,0.0769,0.1643,0.1287,0.2753,0.2566
R073,0.2356,0.2401,0.2308,0.1291,0.1781,0.2988,0.3004,0.3536,0.2263,0.2490,0.3579,0.2600,0.2869,0.1585,0.1940,0.2798,0.2956,0.1976,0.0978,0.2145,0.1833,0.1068,0.3412,0.2550,0.3259,0.2984,0.2611,0.3268,0.1150,0.1165,0.0885,0.0465,0.0066,-0.0676,0.0130,0.2134,0.1472,-0.0571,0.0269,0.1208,0.1319,0.2541,0.2707,0.1105,0.1301,0.0104,0.2196,0.0345,0.0705,0.0894,-0.0492,-0.1984,-0.1584,-0.1246,-0.0959,-0.1864,-0.2554,-0.1232,-0.1634,-0.2415,-0.1706,-0.1505,-0.2140,-0.2146,-0.1094,-0.0242,-0.1072,-0.1830,0.7540,0.5956,0.7130,0.6434,1.0000,0.6622,0.7046,0.7287,0.7548,0.6692,0.6995,0.6880,0.3344,0.2649,0.2696,0.3284,0.2253,0.1705,0.3007,0.2367,0.3825,0.3756
R074,0.1485,0.1448,0.1026,0.1466,0.0694,0.1726,0.2767,0.2202,0.1667,0.1715,0.2094,0.1619,0.1669,0.0791,0.1493,0.0653,0.1718,0.0958,-0.1005,-0.0338,-0.0835,-0.1286,0.3279,0.3013,0.3250,0.3819,0.3004,0.3380,0.1639,0.1935,0.1959,0.1171,0.0911,0.0302,0.0766,0.1620,0.2029,-0.0225,0.0137,0.1654,0.2002,0.3245,0.2305,0.1564,0.2113,0.0732,0.1887,0.2270,0.1491,0.1979,-0.0750,-0.1785,-0.2205,-0.1685,-0.0310,-0.1484,-0.2565,-0.1291,-0.1576,-0.2486,-0.2022,-0.1475,-0.2191,-0.2956,0.0288,-0.1052,-0.1779,-0.2071,0.6802,0.5961,0.6480,0.6901,0.6622,1.0000,0.6873,0.7170,0.6926,0.6289,0.7246,0.6778,0.1671,0.1055,0.1687,0.1780,0.1060,-0.0001,0.2020,0.0775,0.2147,0.2188
R075,0.2331,0.2350,0.2058,0.1575,0.2024,0.2167,0.3347,0.2614,0.2270,0.2616,0.2798,0.2671,0.2729,0.1997,0.2259,0.2047,0.3443,0.1432,-0.0360,0.1063,0.0185,-0.0114,0.3464,0.2728,0.2731,0.2818,0.2853,0.3255,0.1905,0.2228,0.1714,0.1522,0.1440,0.0644,0.1362,0.2637,0.2427,0.0562,-0.0106,0.1141,0.0733,0.2958,0.2086,0.0935,0.1589,0.0592,0.1855,0.1661,0.0702,0.1854,-0.0447,-0.1494,-0.2059,-0.0596,-0.0874,-0.0748,-0.1965,-0.0009,-0.0832,-0.2449,-0.1796,-0.1119,-0.2622,-0.2345,-0.0235,-0.0151,-0.1241,-0.2112,0.7698,0.6800,0.7538,0.6697,0.7046,0.6873,1.0000,0.7018,0.7555,0.6791,0.7975,0.7589,0.1547,0.1171,0.1789,0.2243,0.1599,0.0579,0.1233,0.1376,0.1918,0.2197
R076,0.1512,0.1904,0.1396,0.0991,0.1187,0.2041,0.3220,0.2712,0.1594,0.1298,0.3197,0.2128,0.2241,0.1336,0.1357,0.1141,0.2301,0.1230,-0.0178,0.1402,0.0665,-0.0309,0.3650,0.3672,0.3473,0.3733,0.2826,0.3376,0.1909,0.1778,0.1655,0.1241,0.0503,-0.0019,0.0800,0.1901,0.2404,0.0226,0.0392,0.1588,0.1765,0.2679,0.2706,0.1357,0.1344,0.0601,0.1863,0.1122,0.0931,0.1494,-0.0332,-0.1232,-0.2112,-0.0092,-0.0038,-0.0463,-0.2030,-0.0222,-0.0749,-0.1448,-0.1415,-0.0526,-0.1575,-0.1483,0.0424,0.1031,-0.1340,-0.1054,0.7398,0.6437,0.7019,0.6593,0.7287,0.7170,0.7018,1.0000,0.7426,0.6856,0.6988,0.7267,0.3260,0.1502,0.2945,0.2603,0.2273,0.1355,0.2935,0.2037,0.3189,0.2991
R077,0.1191,0.2339,0.1090,0.0854,0.2149,0.2315,0.2768,0.3161,0.1806,0.1900,0.2514,0.2017,0.2379,0.2062,0.1281,0.1549,0.2565,0.1350,0.0887,0.2613,0.1268,0.0681,0.3920,0.2996,0.3257,0.3301,0.2841,0.3595,0.1419,0.1605,0.0988,0.1122,0.0495,-0.0806,0.0743,0.1773,0.1891,-0.0482,-0.0035,0.1072,0.1040,0.2630,0.1713,0.1101,0.1540,0.0412,0.2297,0.0784,0.0886,0.1736,-0.0777,-0.2192,-0.1566,-0.1579,-0.0632,-0.0862,-0.2429,-0.0402,-0.0513,-0.1778,-0.1753,-0.1536,-0.2041,-0.2356,-0.0785,0.0040,-0.1360,-0.1907,0.7701,0.6601,0.6735,0.6433,0.7548,0.6926,0.7555,0.7426,1.0000,0.6236,0.7512,0.6617,0.2752,0.1417,0.2586,0.2533,0.1591,0.1096,0.2182,0.1232,0.2762,0.3016
R078,0.1815,0.1921,0.1217,0.0774,0.0678,0.2317,0.2826,0.1970,0.1444,0.1792,0.2167,0.1909,0.2359,0.1053,0.1207,0.1344,0.2260,0.1233,0.1214,0.1727,0.2280,0.1142,0.3059,0.2338,0.2667,0.2937,0.2467,0.2530,0.1801,0.1946,0.1558,0.0799,0.0739,-0.0141,0.1086,0.2382,0.1974,-0.0333,0.0926,0.1508,0.1858,0.2521,0.2610,0.1532,0.1770,0.1188,0.1169,0.0945,0.1050,0.1344,0.0016,-0.1125,-0.1750,0.0443,-0.0261,-0.0090,-0.2140,-0.0321,-0.0985,-0.1970,-0.1082,-0.0675,-0.0906,-0.1413,0.0806,0.1041,-0.1270,-0.1077,0.6643,0.5623,0.6568,0.6985,0.6692,0.6289,0.6791,0.6856,0.6236,1.0000,0.6438,0.6095,0.2779,0.2290,0.2505,0.2729,0.2758,0.1981,0.2410,0.2655,0.2653,0.3643
R079,0.1447,0.2258,0.0989,0.1710,0.1167,0.2135,0.2800,0.2545,0.2175,0.2139,0.2401,0.2107,0.2635,0.1132,0.2188,0.1617,0.2567,0.1181,-0.0310,0.1323,0.0147,0.0087,0.3010,0.2421,0.3020,0.2962,0.2522,0.2661,0.1870,0.2608,0.1997,0.1541,0.1760,0.0666,0.1306,0.2567,0.2746,0.0581,0.0222,0.1806,0.1265,0.3437,0.2381,0.1819,0.2129,0.1240,0.2389,0.2143,0.1560,0.2430,0.0050,-0.1378,-0.2306,-0.0758,0.0168,-0.0738,-0.1495,0.0095,0.0008,-0.1549,-0.1025,-0.0755,-0.1702,-0.1837,0.0162,0.0213,-0.1253,-0.1363,0.7406,0.7228,0.6916,0.6499,0.6995,0.7246,0.7975,0.6988,0.7512,0.6438,1.0000,0.7282,0.1760,0.1502,0.1960,0.2380,0.1457,0.0517,0.2207,0.1789,0.2500,0.2477
R080,0.2446,0.1643,0.1790,0.1468,0.1761,0.2359,0.3466,0.2863,0.2541,0.2321,0.3378,0.2238,0.2322,0.1606,0.2538,0.2246,0.2580,0.1649,0.0332,0.1106,0.0637,0.0163,0.2454,0.1689,0.2046,0.2278,0.1641,0.2369,0.0775,0.1007,0.1131,0.0276,0.0010,-0.0682,-0.0013,0.1135,0.1142,-0.1047,-0.0024,0.1524,0.1623,0.2834,0.2268,0.0920,0.2280,0.0391,0.1887,0.1582,0.0555,0.1125,-0.1715,-0.2232,-0.2689,-0.1058,-0.1457,-0.0387,-0.2315,-0.1504,-0.0952,-0.1923,-0.1817,-0.1593,-0.2991,-0.1877,-0.1237,-0.0656,-0.1705,-0.1980,0.7172,0.6339,0.6963,0.5434,0.6880,0.6778,0.7589,0.7267,0.6617,0.6095,0.7282,1.0000,0.2157,0.1923,0.2005,0.2433,0.1243,0.0898,0.2099,0.1338,0.2312,0.2861
R081,0.0455,0.1047,0.0942,0.0436,0.0316,0.2738,0.1033,0.2110,0.0070,0.0872,0.2188,0.1426,0.2138,0.2277,0.1282,0.1267,0.1697,0.0350,0.1352,0.2520,0.2787,0.1851,0.2090,0.2892,0.1956,0.2055,0.1042,0.2221,0.1307,0.1230,0.0811,0.0428,0.0059,-0.0119,0.1511,0.1775,0.1426,0.1130,0.1743,0.1614,0.1664,0.1928,0.2027,0.2305,0.0565,0.0386,0.0823,0.0283,0.0436,0.1000,0.2726,0.2256,0.2724,0.1847,0.0800,0.2221,0.1759,0.1178,0.1450,0.0957,0.1768,0.2849,0.1376,0.1680,0.0152,0.2955,0.2746,0.2159,0.2193,0.1118,0.2252,0.2418,0.3344,0.1671,0.1547,0.3260,0.2752,0.2779,0.1760,0.2157,1.0000,0.7520,0.7526,0.7737,0.7609,0.8046,0.7866,0.7068,0.6965,0.7575
R082,0.1280,0.1077,0.0654,0.1093,0.0201,0.3091,0.0784,0.2172,0.0425,0.1480,0.1807,0.1221,0.1898,0.2288,0.1202,0.2052,0.2478,0.0504,0.2178,0.2515,0.2980,0.1915,0.1721,0.2048,0.1934,0.1880,0.0396,0.1582,0.0736,0.0719,0.0192,0.0405,-0.0075,-0.0106,0.1367,0.1523,0.0323,0.0708,0.1801,0.1483,0.1377,0.2305,0.2554,0.2572,0.1086,0.0931,0.0852,0.0758,0.1314,0.0883,0.3220,0.2279,0.1876,0.1218,0.1050,0.1994,0.1531,0.0587,0.0939,0.1288,0.1852,0.3231,0.1644,0.2402,-0.0173,0.3064,0.2054,0.2418,0.2132,0.0216,0.1736,0.1541,0.2649,0.1055,0.1171,0.1502,0.1417,0.2290,0.1502,0.1923,0.7520,1.0000,0.7059,0.7552,0.7269,0.7611,0.6998,0.6553,0.6581,0.6936
R083,-0.0948,0.0091,-0.0122,-0.0739,-0.0815,0.0962,-0.0457,0.0200,-0.0983,-0.0872,0.0575,0.0192,0.0007,0.0756,0.0180,0.0025,0.0136,-0.1279,-0.0093,0.1200,0.1168,0.1310,0.0177,0.1045,0.0924,0.0825,-0.0628,0.0286,0.2599,0.2669,0.1768,0.1728,0.1682,0.1511,0.2685,0.3008,0.2482,0.2107,0.0283,-0.0026,0.0005,0.0791,0.0780,0.1916,-0.0312,-0.0351,-0.0282,-0.0794,-0.0153,0.0336,0.3725,0.2324,0.2356,0.2191,0.1735,0.3408,0.1809,0.2121,0.1874,0.2334,0.1987,0.2941,0.2003,0.2164,0.0878,0.3380,0.2165,0.3120,0.2687,0.1507,0.2428,0.2235,0.2696,0.1687,0.1789,0.2945,0.2586,0.2505,0.1960,0.2005,0.7526,0.7059,1.0000,0.6880,0.7757,0.7033,0.7198,0.6512,0.6022,0.7002
R084,0.0290,0.1064,0.0567,0.0068,0.0161,0.2563,0.0414,0.1353,0.0159,0.0727,0.2352,0.1190,0.1601,0.1617,0.0554,0.0841,0.1683,0.0087,0.1567,0.2018,0.2099,0.2159,0.1366,0.1987,0.1642,0.1357,0.0001,0.1439,0.1559,0.2025,0.1302,0.1464,0.0730,0.0616,0.1881,0.2150,0.1595,0.1666,0.0768,0.1259,0.1292,0.1283,0.1817,0.2613,0.0098,0.0852,0.0017,0.0370,0.0675,0.0861,0.2876,0.1698,0.2183,0.1099,0.0721,0.2043,0.1771,0.1275,0.1120,0.0586,0.1636,0.2573,0.0203,0.0897,0.0188,0.2472,0.1904,0.1556,0.2499,0.0957,0.2244,0.1946,0.3284,0.1780,0.2243,0.2603,0.2533,0.2729,0.2380,0.2433,0.7737,0.7552,0.6880,1.0000,0.7425,0.7442,0.7229,0.7351,0.7018,0.7402
R085,0.0748,0.1607,0.1206,0.0444,0.0368,0.2505,0.0873,0.0970,0.0074,0.0480,0.2315,0.1828,0.1320,0.1960,0.1084,0.1459,0.1641,0.0777,0.0979,0.1772,0.2407,0.2496,0.1347,0.2230,0.1314,0.1106,0.0288,0.0989,0.2481,0.2491,0.1712,0.1730,0.1632,0.1618,0.2860,0.2794,0.2036,0.2529,0.1823,0.1293,0.0979,0.1592,0.1847,0.2990,0.0624,0.0823,0.0856,0.0233,0.0355,0.1661,0.3711,0.3030,0.2582,0.1965,0.1457,0.3216,0.2149,0.2242,0.1675,0.1992,0.3177,0.3398,0.2043,0.2179,0.1520,0.3562,0.2507,0.3016,0.1977,0.0750,0.1983,0.1676,0.2253,0.1060,0.1599,0.2273,0.1591,0.2758,0.1457,0.1243,0.7609,0.7269,0.7757,0.7425,1.0000,0.7560,0.7192,0.7131,0.6643,0.6631
R086,0.0812,0.1108,0.0747,0.0301,0.0643,0.2929,0.0323,0.1521,0.0010,0.0747,0.1732,0.1448,0.1188,0.2382,0.0787,0.1442,0.1637,0.0410,0.2020,0.3302,0.3203,0.2929,0.0439,0.1272,0.0662,0.0537,-0.0379,0.0815,0.1263,0.0895,0.0359,0.0711,0.0455,-0.0018,0.1780,0.1818,0.0992,0.1244,0.1862,0.1709,0.1671,0.2203,0.2016,0.3046,0.0722,0.0705,0.1069,0.0707,0.1196,0.1131,0.3655,0.2080,0.2721,0.1762,0.1119,0.2672,0.2146,0.1821,0.1241,0.1810,0.2210,0.3294,0.1142,0.2175,0.0066,0.3400,0.2357,0.2652,0.1631,0.0458,0.1210,0.0769,0.1705,-0.0001,0.0579,0.1355,0.1096,0.1981,0.0517,0.0898,0.8046,0.7611,0.7033,0.7442,0.7560,1.0000,0.7395,0.6963,0.7140,0.6961
